2024-04-18 12:18:15,376 - root - INFO - Epoch 27; loss: 7.903159141540527; CER: 0.31654319167137146; WER: 0.9755555391311646; val_loss: 18.659536361694336; val_CER: 0.5155555605888367; val_WER: 1.0
2024-04-18 12:18:23,052 - root - INFO - Epoch 28; loss: 6.665200233459473; CER: 0.2639506161212921; WER: 0.95333331823349; val_loss: 19.950939178466797; val_CER: 0.5199999809265137; val_WER: 1.0
2024-04-18 12:18:30,715 - root - INFO - Epoch 29; loss: 7.296011447906494; CER: 0.28888893127441406; WER: 0.9644444584846497; val_loss: 18.402952194213867; val_CER: 0.5355556011199951; val_WER: 1.0
2024-04-18 12:18:38,363 - root - INFO - Epoch 30; loss: 6.698467254638672; CER: 0.26543211936950684; WER: 0.9377777576446533; val_loss: 19.408878326416016; val_CER: 0.5355556011199951; val_WER: 1.0
2024-04-18 12:18:46,234 - root - INFO - Epoch 31; loss: 6.157815933227539; CER: 0.24049384891986847; WER: 0.9599999785423279; val_loss: 20.632509231567383; val_CER: 0.5177778005599976; val_WER: 1.0
2024-04-18 12:18:53,669 - root - INFO - Epoch 32; loss: 5.813447952270508; CER: 0.22691360116004944; WER: 0.9133333563804626; val_loss: 20.55911636352539; val_CER: 0.5511111617088318; val_WER: 1.0
2024-04-18 12:19:01,531 - root - INFO - Epoch 33; loss: 5.273264408111572; CER: 0.21358025074005127; WER: 0.8888888955116272; val_loss: 18.255477905273438; val_CER: 0.504444420337677; val_WER: 1.0
2024-04-18 12:19:10,741 - root - INFO - Epoch 34; loss: 5.542603015899658; CER: 0.22098764777183533; WER: 0.9177777767181396; val_loss: 17.792951583862305; val_CER: 0.5111111402511597; val_WER: 1.0
2024-04-18 12:19:18,723 - root - INFO - Epoch 35; loss: 4.995656490325928; CER: 0.1990123689174652; WER: 0.8822222352027893; val_loss: 17.913301467895508; val_CER: 0.5; val_WER: 1.0
2024-04-18 12:19:28,178 - root - INFO - Epoch 36; loss: 4.856391906738281; CER: 0.1930864304304123; WER: 0.897777795791626; val_loss: 18.294189453125; val_CER: 0.5066666603088379; val_WER: 1.0
2024-04-18 12:19:36,827 - root - INFO - Epoch 37; loss: 4.036576271057129; CER: 0.1595061719417572; WER: 0.7755555510520935; val_loss: 21.520723342895508; val_CER: 0.5222222208976746; val_WER: 1.0
2024-04-18 12:19:45,602 - root - INFO - Epoch 38; loss: 4.313063621520996; CER: 0.17456789314746857; WER: 0.8444444537162781; val_loss: 20.31343650817871; val_CER: 0.5155555605888367; val_WER: 1.0
2024-04-18 12:19:53,824 - root - INFO - Epoch 39; loss: 4.978054046630859; CER: 0.19209876656532288; WER: 0.8733333349227905; val_loss: 26.814786911010742; val_CER: 0.6355555653572083; val_WER: 1.0
2024-04-18 12:20:00,599 - root - INFO - Epoch 40; loss: 4.594300746917725; CER: 0.17308643460273743; WER: 0.8177777528762817; val_loss: 23.067947387695312; val_CER: 0.6044444441795349; val_WER: 1.0
2024-04-18 12:20:07,438 - root - INFO - Epoch 41; loss: 5.557161331176758; CER: 0.2079012393951416; WER: 0.8777777552604675; val_loss: 24.442644119262695; val_CER: 0.6488889455795288; val_WER: 1.0
2024-04-18 12:20:14,211 - root - INFO - Epoch 42; loss: 4.443901062011719; CER: 0.16913582384586334; WER: 0.8355555534362793; val_loss: 25.60425567626953; val_CER: 0.6377778053283691; val_WER: 1.0
2024-04-18 12:20:21,251 - root - INFO - Epoch 43; loss: 3.6968576908111572; CER: 0.14666666090488434; WER: 0.7777777910232544; val_loss: 28.090831756591797; val_CER: 0.6333333849906921; val_WER: 1.0
2024-04-18 12:20:28,224 - root - INFO - Epoch 44; loss: 2.9844632148742676; CER: 0.12049384415149689; WER: 0.6733333468437195; val_loss: 27.643810272216797; val_CER: 0.6577777862548828; val_WER: 1.0
2024-04-18 12:20:35,363 - root - INFO - Epoch 45; loss: 3.270562171936035; CER: 0.12617285549640656; WER: 0.699999988079071; val_loss: 29.478012084960938; val_CER: 0.6533333659172058; val_WER: 1.0
2024-04-18 12:20:42,384 - root - INFO - Epoch 46; loss: 4.712353706359863; CER: 0.17629630863666534; WER: 0.8377777934074402; val_loss: 27.92288589477539; val_CER: 0.6688889265060425; val_WER: 1.0
